,sensor_id,latency
0,temperature,0.14755
1,temperature,0.076537
2,humidity,0.075562
3,temperature,0.076643
4,pressure,0.075001
5,humidity,0.12654
6,temperature,0.076895
7,pressure,0.076344
8,humidity,0.145149
9,temperature,0.123141
10,pressure,0.076463
11,humidity,0.163967
12,temperature,0.142174
13,pressure,0.079184
14,humidity,0.182269
15,temperature,0.16384
16,pressure,0.075844
17,humidity,0.076937
18,temperature,0.075459
19,pressure,0.074738
20,humidity,0.08072
21,temperature,0.089879
22,pressure,0.076894
23,humidity,0.074811
24,temperature,0.107719
25,pressure,0.077327
26,humidity,0.185296
27,temperature,0.077724
28,pressure,0.076833
29,humidity,0.172649
30,temperature,0.074705
31,pressure,0.075727
32,humidity,0.087874
33,temperature,0.074963
34,pressure,0.077215
35,humidity,0.074207
36,temperature,0.307342
37,pressure,0.218926
38,humidity,0.074536
39,temperature,0.097336
40,pressure,0.075246
41,humidity,0.143477
42,temperature,0.114652
43,pressure,0.078096
44,humidity,0.161763
45,temperature,0.13086
46,pressure,0.077292
47,humidity,0.180238
48,temperature,0.075889
49,pressure,0.075197
50,humidity,0.095996
51,temperature,0.165826
52,pressure,0.079218
53,humidity,0.075145
54,temperature,0.180025
55,pressure,0.092749
56,humidity,0.132778
57,temperature,0.201361
58,pressure,0.116941
59,humidity,0.150861
60,temperature,0.219916
61,pressure,0.134307
62,humidity,0.169227
63,temperature,0.078105
64,pressure,0.076895
65,humidity,0.187969
66,temperature,0.25065
67,pressure,0.165771
68,humidity,0.093231
69,temperature,0.267718
70,pressure,0.182013
71,humidity,0.077777
72,temperature,0.166
73,pressure,0.080703
74,humidity,0.077684
75,temperature,0.103089
76,pressure,0.077475
77,humidity,0.159612
78,temperature,0.118021
79,pressure,0.077704
80,humidity,0.077756
81,temperature,0.13686
82,pressure,0.091477
83,humidity,0.077229
84,temperature,0.151281
85,pressure,0.077747
86,humidity,0.111795
87,temperature,0.171349
88,pressure,0.084972
89,humidity,0.129684
90,temperature,0.076086
91,pressure,0.077783
