,sensor_id,latency
489,humidity,0.053929
490,temperature,1.059254
491,humidity,0.055152
492,temperature,1.05909
493,humidity,0.053019
494,temperature,1.05805
495,humidity,0.054713
496,temperature,1.056658
497,humidity,0.051471
498,temperature,1.058694
499,humidity,0.054204
500,temperature,1.058138
501,humidity,0.052897
502,temperature,1.057832
503,humidity,0.051092
504,temperature,1.057113
505,humidity,0.05808
506,temperature,1.042229
507,humidity,0.038171
508,temperature,1.074536
509,humidity,0.097769
510,temperature,1.0572
511,humidity,0.053583
512,temperature,1.057154
513,humidity,0.053462
514,temperature,1.058605
515,humidity,0.054259
516,temperature,1.056348
517,humidity,0.052321
518,temperature,1.058961
519,humidity,0.051534
520,temperature,0.238041
521,humidity,1.068059
522,temperature,0.065722
523,humidity,1.055221
524,temperature,0.050657
525,humidity,1.055933
526,temperature,0.057738
527,humidity,1.057589
528,temperature,0.055648
529,humidity,1.055241
530,temperature,0.058316
531,humidity,1.054503
532,temperature,0.052739
533,humidity,1.055614
534,temperature,0.050482
535,humidity,1.056815
536,temperature,0.054952
537,humidity,1.056451
538,temperature,0.054209
539,humidity,1.056759
540,temperature,0.059005
541,humidity,1.057481
542,temperature,0.055838
543,humidity,1.055288
544,temperature,0.053855
545,humidity,1.054508
546,temperature,0.053793
547,humidity,1.037895
548,temperature,0.035902
