Date 27.05.23, Time 20:33:31, Uptime:  20:33:31 up 28 min,  4 users,  load average: 0.07, 0.02, 0.01, Load average:  0.07, 0.02, 0.01, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.4%
Date 27.05.23, Time 20:34:31, Uptime:  20:34:31 up 29 min,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.4%
Date 27.05.23, Time 20:35:32, Uptime:  20:35:32 up 30 min,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 52.1°C, CPU_load: 5.3%
Date 27.05.23, Time 20:36:32, Uptime:  20:36:32 up 31 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.1°C, CPU_load: 4.2%
Date 27.05.23, Time 20:37:32, Uptime:  20:37:32 up 32 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 4.1%
Date 27.05.23, Time 20:38:32, Uptime:  20:38:32 up 33 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:39:33, Uptime:  20:39:33 up 34 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.2%
Date 27.05.23, Time 20:40:33, Uptime:  20:40:33 up 35 min,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 52.1°C, CPU_load: 5.2%
Date 27.05.23, Time 20:41:33, Uptime:  20:41:33 up 36 min,  4 users,  load average: 0.06, 0.03, 0.00, Load average:  0.06, 0.03, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.6%
Date 27.05.23, Time 20:42:34, Uptime:  20:42:34 up 37 min,  4 users,  load average: 0.02, 0.02, 0.00, Load average:  0.02, 0.02, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.3%
Date 27.05.23, Time 20:43:34, Uptime:  20:43:34 up 38 min,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 50.6°C, CPU_load: 4.1%
Date 27.05.23, Time 20:44:34, Uptime:  20:44:34 up 39 min,  4 users,  load average: 0.05, 0.02, 0.00, Load average:  0.05, 0.02, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.5%
Date 27.05.23, Time 20:45:34, Uptime:  20:45:34 up 40 min,  4 users,  load average: 0.02, 0.02, 0.00, Load average:  0.02, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 2.9%
Date 27.05.23, Time 20:46:35, Uptime:  20:46:35 up 41 min,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:47:35, Uptime:  20:47:35 up 42 min,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 4.2%
Date 27.05.23, Time 20:48:35, Uptime:  20:48:35 up 43 min,  4 users,  load average: 0.10, 0.05, 0.01, Load average:  0.10, 0.05, 0.01, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.3%
Date 27.05.23, Time 20:49:36, Uptime:  20:49:36 up 44 min,  4 users,  load average: 0.04, 0.04, 0.01, Load average:  0.04, 0.04, 0.01, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 3%
Date 27.05.23, Time 20:50:36, Uptime:  20:50:36 up 45 min,  4 users,  load average: 0.01, 0.03, 0.00, Load average:  0.01, 0.03, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 6.8%
Date 27.05.23, Time 20:51:36, Uptime:  20:51:36 up 46 min,  4 users,  load average: 0.07, 0.04, 0.00, Load average:  0.07, 0.04, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 6.4%
Date 27.05.23, Time 20:52:36, Uptime:  20:52:36 up 47 min,  4 users,  load average: 0.02, 0.03, 0.00, Load average:  0.02, 0.03, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 6.4%
Date 27.05.23, Time 20:53:37, Uptime:  20:53:37 up 48 min,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.4%
Date 27.05.23, Time 20:54:37, Uptime:  20:54:37 up 49 min,  4 users,  load average: 0.00, 0.02, 0.00, Load average:  0.00, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.1%
Date 27.05.23, Time 20:55:37, Uptime:  20:55:37 up 50 min,  4 users,  load average: 0.04, 0.03, 0.00, Load average:  0.04, 0.03, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 5.2%
Date 27.05.23, Time 20:56:38, Uptime:  20:56:38 up 51 min,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.4%
Date 27.05.23, Time 20:57:38, Uptime:  20:57:38 up 52 min,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 6.5%
