,sensor_id,latency
287,temperature,0.069229
288,pressure,0.092952
289,humidity,0.042257
290,temperature,0.090083
291,pressure,0.00433
292,humidity,0.057132
293,temperature,0.102545
294,pressure,0.001523
295,humidity,0.183049
296,temperature,0.017918
297,pressure,0.041372
298,humidity,0.093428
299,temperature,0.035738
300,pressure,0.059065
301,humidity,0.111366
302,temperature,0.053837
303,pressure,0.076798
304,humidity,0.028889
305,temperature,0.17712
306,pressure,0.00309
307,humidity,0.047299
308,temperature,0.089321
309,pressure,0.001073
310,humidity,0.002061
311,temperature,0.21275
312,pressure,0.03919
313,humidity,0.081094
314,temperature,0.022666
315,pressure,0.045899
316,humidity,0.097248
317,temperature,0.04023
318,pressure,0.065871
319,humidity,0.002003
320,temperature,0.059006
321,pressure,0.001366
322,humidity,0.001768
323,temperature,0.079967
324,pressure,0.001922
325,humidity,0.048844
326,temperature,0.095245
327,pressure,0.001342
328,humidity,0.157486
329,temperature,0.001511
330,pressure,0.033581
331,humidity,0.084611
332,temperature,0.029086
333,pressure,-0.000569
334,humidity,0.309605
335,temperature,0.04718
336,pressure,0.001489
337,humidity,0.019224
338,temperature,0.111421
339,pressure,-0.000896
340,humidity,0.039351
341,temperature,0.078517
342,pressure,0.00679
343,humidity,0.002375
344,temperature,0.204833
345,pressure,0.031294
346,humidity,0.176047
347,temperature,0.017899
348,pressure,-0.000253
349,humidity,-0.000719
350,temperature,0.036147
351,pressure,0.059017
352,humidity,0.110212
353,temperature,0.057215
354,pressure,0.001161
355,humidity,0.026139
356,temperature,0.000893
357,pressure,0.000579
358,humidity,-0.000416
359,temperature,0.093428
360,pressure,0.001622
361,humidity,0.16515
362,temperature,0.127544
363,pressure,-0.000852
364,humidity,0.081039
365,temperature,0.024847
366,pressure,0.047335
367,humidity,0.099052
368,temperature,0.043283
369,pressure,0.065845
370,humidity,0.015368
371,temperature,0.167263
372,pressure,-0.001019
373,humidity,0.037786
374,temperature,0.079798
375,pressure,0.102409
376,humidity,0.05172
377,temperature,0.200802
378,pressure,0.027351
379,humidity,0.069906
380,temperature,0.013792
381,pressure,0.037121
382,humidity,0.088103
383,temperature,0.035228
384,pressure,0.054815
385,humidity,0.003138
386,temperature,0.050594
387,pressure,0.073443
388,humidity,0.022687
389,temperature,0.071923
390,pressure,0.091886
391,humidity,0.040598
392,temperature,0.086874
393,pressure,0.001784
394,humidity,0.161702
395,temperature,0.107675
396,pressure,-0.000456
397,humidity,0.077252
398,temperature,0.020966
399,pressure,0.043828
400,humidity,-0.000394
401,temperature,0.144817
402,pressure,0.000581
403,humidity,0.011921
404,temperature,0.159383
405,pressure,0.182515
406,humidity,0.1322
407,temperature,0.076492
408,pressure,0.098348
409,humidity,0.048455
410,temperature,0.227482
411,pressure,0.124972
412,humidity,0.168104
413,temperature,0.110858
414,pressure,0.0014
415,humidity,0.083838
416,temperature,0.026596
417,pressure,0.049338
418,humidity,0.102046
419,temperature,0.047749
420,pressure,0.067659
421,humidity,0.017724
422,temperature,0.062775
423,pressure,0.085867
424,humidity,0.035844
425,temperature,0.08426
426,pressure,0.105035
427,humidity,0.053851
428,temperature,0.098048
429,pressure,0.014186
430,humidity,0.071837
431,temperature,0.014974
432,pressure,0.038217
433,humidity,0.090596
434,temperature,0.033005
435,pressure,0.056137
436,humidity,0.108486
437,temperature,0.051596
438,pressure,0.075006
439,humidity,0.024491
440,temperature,0.119124
441,pressure,0.000423
442,humidity,0.042704
443,temperature,0.086885
444,pressure,0.002181
445,humidity,0.060478
446,temperature,0.208613
447,pressure,0.034996
448,humidity,0.079049
449,temperature,0.024654
450,pressure,0.044649
451,humidity,0.097259
452,temperature,0.002037
453,pressure,0.06305
454,humidity,0.012752
455,temperature,0.05679
456,pressure,0.082386
457,humidity,0.030037
458,temperature,0.074818
459,pressure,0.097021
460,humidity,-0.00109
461,temperature,0.093098
462,pressure,0.001184
463,humidity,0.167426
464,temperature,0.110385
465,pressure,-0.000508
466,humidity,0.18554
467,temperature,0.026151
468,pressure,0.04901
469,humidity,0.000977
470,temperature,0.146632
471,pressure,0.001567
472,humidity,0.017291
473,temperature,0.164548
474,pressure,0.001266
475,humidity,0.034803
